track_id,genre_track,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
162MHwMBYufdE5jyoRobTo,kpop,228880.0,False,0.885,0.942,1.0,-0.548,0.0,0.0798,0.177,0.0,0.115,0.937,114.994,4.0
517RaXryInkI9MstFWUDkz,kpop,190512.0,False,0.331,0.532,1.0,-5.119,1.0,0.0416,0.578,0.0,0.113,0.0412,134.929,4.0
0nvFEQ9DrRrj8wYZfIsSm7,kpop,35236.0,False,0.748,0.501,7.0,-12.613,1.0,0.0593,0.0313,0.263,0.141,0.708,109.01,4.0
4sg4n7YCHA013vqSzY6t6t,kpop,182000.0,False,0.627,0.865,5.0,-4.241,1.0,0.0457,0.0025,0.0,0.362,0.36,106.093,4.0
2dOO2z1VZF9bNHoLkG5qEw,kpop,219506.0,False,0.703,0.787,6.0,-5.058,1.0,0.629,0.234,0.0,0.408,0.662,104.776,4.0
2mzkWoJkNH9kTC3Wn0ISIr,kpop,149490.0,False,0.659,0.804,2.0,-6.566,1.0,0.0733,0.0426,0.0,0.105,0.821,129.927,4.0
5M0rZD9lR7udWBYRE7eL76,kpop,183904.0,False,0.274,0.0166,1.0,-47.124,1.0,0.0822,0.00167,0.0097,0.164,0.0984,71.414,1.0
5a5bM3Qw6y8lPRLxCar4V2,kpop,195107.0,False,0.798,0.876,5.0,-6.57,0.0,0.0443,0.0112,2.74e-05,0.37,0.844,128.003,4.0
6UrML9LyuaBWgZV3nFLLGl,kpop,191986.0,False,0.707,0.95,6.0,-3.189,0.0,0.0645,0.0187,1.14e-05,0.35,0.589,110.029,4.0
4s8IMVq4fLVCiovaW7HEim,kpop,237312.0,False,0.619,0.906,2.0,-1.89,1.0,0.0577,0.0688,0.0,0.079,0.472,112.942,4.0
3rmaCpKeltsLma9WnGLEBG,kpop,279000.0,False,0.786,0.816,7.0,-9.928,0.0,0.0456,0.355,7.51e-05,0.305,0.883,121.816,4.0
0XUVjWfvGbEvhGmt2cilWj,kpop,161280.0,True,0.674,0.636,7.0,-6.723,1.0,0.338,0.41,0.0,0.153,0.489,71.44,4.0
3aFEqWiwga2d9CTRO030Jl,kpop,336466.0,False,0.603,0.882,0.0,-6.177,1.0,0.0362,0.222,0.349,0.242,0.885,125.208,4.0
6Izz6WhR2x2v3YlrCxL4pN,kpop,94655.0,False,0.948,0.4,0.0,-5.799,1.0,0.0491,0.494,0.0,0.0262,0.884,115.903,4.0
7lkkXLG8HxdcXvkvZqsSNw,kpop,205357.0,False,0.579,0.39,0.0,-17.916,1.0,0.0339,0.0789,0.00174,0.194,0.525,99.998,4.0
2gsMh0vWUbcTWrrOZooacg,kpop,151266.0,True,0.914,0.729,11.0,-6.035,0.0,0.234,0.00355,0.0,0.25,0.883,149.981,4.0
5Ea6VaQFplATEu2biAQdlB,kpop,215776.0,True,0.547,0.558,9.0,-6.745,0.0,0.309,0.112,0.0,0.112,0.422,93.872,4.0
3PN5rJHuS7EI60Zsa3CQAE,kpop,168000.0,False,0.616,0.425,11.0,-15.742,0.0,0.0316,0.392,0.197,0.0794,0.164,131.095,3.0
0SYPAMB650uYk67MeCqGTZ,kpop,194091.0,False,0.741,0.485,1.0,-9.32,1.0,0.0561,0.387,0.0,0.0986,0.625,137.071,4.0
4Q90kkPqyBv3G7ixxKWow4,kpop,208482.0,False,0.745,0.853,2.0,-4.092,1.0,0.132,0.0624,0.0,0.0609,0.403,106.933,4.0
6gbMG7o2JFTlfvOQ8kNW3T,kpop,37639.0,False,0.46,0.101,5.0,-17.957,1.0,0.0627,0.919,0.436,0.162,0.963,101.832,4.0
6XuNXj7LyEiDLSA9wT7b9f,kpop,274000.0,False,0.329,0.018,1.0,-41.399,1.0,0.0753,0.00183,0.016,0.319,0.0932,65.423,3.0
